iter	Logloss
0	0.6807040128
1	0.6705761996
2	0.6587729714
3	0.6488432451
4	0.6380978671
5	0.6272146052
6	0.6172497836
7	0.6097190163
8	0.6008317427
9	0.5919701316
10	0.5831585971
11	0.5738861431
12	0.5671225808
13	0.5577330849
14	0.549758495
15	0.5412037936
16	0.5344759854
17	0.5248467185
18	0.5187223608
19	0.5111772017
20	0.5037452698
21	0.4968387257
22	0.4908090765
23	0.4834597848
24	0.4757944974
25	0.4704673767
26	0.4634093891
27	0.4580188751
28	0.4523119146
29	0.445051436
30	0.4387983149
31	0.4314137545
32	0.4271912315
33	0.4220090346
34	0.4167967016
35	0.410066674
36	0.4051959645
37	0.4003539692
38	0.3962962064
39	0.3907766862
40	0.3855929288
41	0.381266854
42	0.3774931474
43	0.3725182967
44	0.3693969727
45	0.3643285578
46	0.3596733787
47	0.3559328599
48	0.3518791546
49	0.347051135
50	0.3439056396
51	0.3388369474
52	0.3349820224
53	0.3312170202
54	0.3274114089
55	0.3230294661
56	0.3192634929
57	0.3150912892
58	0.3110309948
59	0.3069178148
60	0.3039299705
61	0.3009224285
62	0.2984651739
63	0.2946958022
64	0.2917490179
65	0.2880597895
66	0.2850803375
67	0.2830783497
68	0.2803166476
69	0.2774318348
70	0.2749623039
71	0.2720420317
72	0.2694123355
73	0.2667655425
74	0.2641984766
75	0.2611454357
76	0.2582457629
77	0.2555912538
78	0.2532679644
79	0.2510675604
80	0.2484027863
81	0.2459311052
82	0.244105183
83	0.2424465179
84	0.2407130501
85	0.2382721121
86	0.2361974196
87	0.2344298623
88	0.2321939989
89	0.2304572539
90	0.2282090967
91	0.2259215268
92	0.2237493342
93	0.2215280186
94	0.219294392
95	0.2174832604
96	0.2155748887
97	0.2140497381
98	0.2118574489
99	0.2104716041
100	0.2089769537
101	0.2071600134
102	0.2055229187
103	0.2042192979
104	0.2026840383
105	0.2014810215
106	0.1994679711
107	0.1976558685
108	0.1964990442
109	0.1949389544
110	0.1933605541
111	0.1916089838
112	0.190256847
113	0.188912513
114	0.1868850014
115	0.1855723294
116	0.1842346191
117	0.182580341
118	0.181495285
119	0.1799873005
